기간	자치구	동	인구	면적	인구밀도
2018	강동구	암사2동	14,711	1.18	12,467
2018	강동구	암사3동	18,943	2.51	7,547
2018	강동구	천호1동	29,144	0.71	41,048
2018	강동구	천호3동	28,568	0.79	36,162
2018	강동구	성내1동	20,996	0.58	36,200
2018	강동구	성내2동	25,725	0.67	38,396
2018	강동구	성내3동	24,155	0.71	34,021
2018	강동구	둔촌1동	317	0.92	345
2018	강동구	둔촌2동	28,260	0.98	28,837
2018	강동구	암사1동	37,760	1.02	37,020
2018	강동구	천호2동	36,423	1.57	23,199
2018	강동구	길동	47,171	2.17	21,738
