기간	자치구	동	인구	면적	인구밀도
2015	합계	합계	10,297,138	605.25	17,013
2015	종로구	소계	163,822	23.91	6,851
2015	종로구	사직동	10,033	1.23	8,157
2015	종로구	삼청동	3,174	1.49	2,130
2015	종로구	부암동	11,217	2.27	4,941
2015	종로구	평창동	19,414	8.87	2,189
2015	종로구	무악동	8,619	0.36	23,942
2015	종로구	교남동	4,875	0.35	13,929
2015	종로구	가회동	4,961	0.54	9,187
2015	종로구	종로1.2.3.4가동	8,786	2.35	3,739
2015	종로구	종로5·6가동	6,057	0.6	10,095
2015	종로구	이화동	9,216	0.78	11,815
2015	종로구	창신1동	6,862	0.31	22,135
2015	종로구	창신2동	11,040	0.26	42,462
2015	종로구	창신3동	7,933	0.23	34,491
2015	종로구	숭인1동	7,232	0.23	31,443
2015	종로구	숭인2동	9,983	0.35	28,523
2015	종로구	청운효자동	14,354	2.57	5,585
2015	종로구	혜화동	20,066	1.12	17,916
2015	중구	소계	134,329	9.96	13,486
2015	중구	소공동	1,869	0.95	1,967
2015	중구	회현동	6,263	0.84	7,456
2015	중구	명동	3,521	0.99	3,557
2015	중구	필동	5,101	1.14	4,475
2015	중구	장충동	5,903	1.36	4,340
2015	중구	광희동	5,817	0.74	7,861
2015	중구	을지로동	1,854	0.6	3,090
2015	중구	신당5동	10,449	0.39	26,792
2015	중구	황학동	13,287	0.33	40,264
2015	중구	중림동	8,979	0.48	18,706
2015	중구	신당동	9,042	0.55	16,440
2015	중구	다산동	16,004	0.51	31,380
2015	중구	약수동	19,002	0.48	39,588
2015	중구	청구동	15,555	0.34	45,750
2015	중구	동화동	11,683	0.26	44,935
2015	용산구	소계	247,909	21.87	11,337
2015	용산구	후암동	19,684	0.86	22,888
2015	용산구	용산2가동	13,106	1.96	6,687
2015	용산구	남영동	8,643	1.19	7,263
2015	용산구	원효로2동	15,709	0.71	22,125
2015	용산구	효창동	9,816	0.44	22,309
2015	용산구	용문동	13,027	0.28	46,525
2015	용산구	이촌1동	29,002	2.86	10,141
2015	용산구	이촌2동	9,663	1.22	7,920
2015	용산구	이태원1동	9,030	0.57	15,842
2015	용산구	이태원2동	11,154	0.86	12,970
2015	용산구	서빙고동	14,342	2.8	5,122
2015	용산구	보광동	17,289	0.71	24,351
2015	용산구	청파동	22,366	0.91	24,578
2015	용산구	원효로1동	14,330	0.59	24,288
2015	용산구	한강로동	16,424	2.9	5,663
2015	용산구	한남동	24,324	3.01	8,081
2015	성동구	소계	305,065	16.86	18,093
2015	성동구	왕십리2동	16,540	0.41	40,341
2015	성동구	마장동	25,060	1.06	23,642
2015	성동구	사근동	12,947	1.11	11,664
2015	성동구	행당1동	15,129	0.59	25,642
2015	성동구	행당2동	26,124	0.42	62,200
2015	성동구	응봉동	17,019	0.57	29,858
2015	성동구	금호1가동	13,780	0.46	29,957
2015	성동구	금호4가동	14,771	0.84	17,585
2015	성동구	성수1가1동	17,557	1.98	8,867
2015	성동구	성수1가2동	17,486	0.89	19,647
2015	성동구	성수2가1동	20,080	1.18	17,017
2015	성동구	성수2가3동	12,251	1.03	11,894
2015	성동구	송정동	12,063	0.68	17,740
2015	성동구	용답동	17,207	2.32	7,417
2015	성동구	왕십리도선동	20,808	0.72	28,900
2015	성동구	금호2.3가동	22,962	0.64	35,878
2015	성동구	옥수동	23,281	1.95	11,939
2015	광진구	소계	375,180	17.06	21,987
2015	광진구	화양동	24,419	1.16	21,051
2015	광진구	군자동	22,091	0.74	29,853
2015	광진구	중곡1동	16,526	0.62	26,655
2015	광진구	중곡2동	22,610	0.55	41,109
2015	광진구	중곡3동	18,120	0.6	30,200
2015	광진구	중곡4동	32,041	2.32	13,811
2015	광진구	능동	11,712	1.1	10,647
2015	광진구	구의1동	23,510	0.56	41,982
2015	광진구	구의2동	25,879	1.39	18,618
2015	광진구	구의3동	30,067	1.02	29,477
2015	광진구	광장동	36,917	2.39	15,446
2015	광진구	자양1동	24,151	0.57	42,370
2015	광진구	자양2동	27,877	1.68	16,593
2015	광진구	자양3동	31,227	1.2	26,023
2015	광진구	자양4동	28,033	1.16	24,166
2015	동대문구	소계	373,824	14.21	26,301
2015	동대문구	회기동	12,524	0.76	16,479
2015	동대문구	휘경1동	15,501	0.63	24,605
2015	동대문구	휘경2동	25,519	1.05	24,304
2015	동대문구	청량리동	24,019	1.2	20,016
2015	동대문구	용신동	33,210	1.61	20,627
2015	동대문구	제기동	28,850	1.18	24,449
2015	동대문구	전농1동	31,254	1.21	25,830
2015	동대문구	전농2동	21,234	0.86	24,691
2015	동대문구	답십리1동	26,582	0.84	31,645
2015	동대문구	답십리2동	29,504	0.8	36,880
2015	동대문구	장안1동	38,017	1.25	30,414
2015	동대문구	장안2동	32,289	1.09	29,623
2015	동대문구	이문1동	32,433	1.04	31,186
2015	동대문구	이문2동	22,888	0.69	33,171
2015	중랑구	소계	418,620	18.5	22,633
2015	중랑구	면목2동	27,560	0.73	37,753
2015	중랑구	면목4동	22,345	1.1	20,314
2015	중랑구	면목5동	11,607	0.64	18,136
2015	중랑구	면목7동	24,004	0.87	27,591
2015	중랑구	상봉1동	26,320	0.85	30,965
2015	중랑구	상봉2동	18,629	0.68	27,396
2015	중랑구	중화1동	21,283	0.68	31,299
2015	중랑구	중화2동	29,090	0.98	29,684
2015	중랑구	묵1동	34,885	1.2	29,071
2015	중랑구	묵2동	19,613	0.7	28,019
2015	중랑구	망우3동	18,415	0.99	18,601
2015	중랑구	신내1동	42,150	2.53	16,660
2015	중랑구	신내2동	23,913	0.99	24,155
2015	중랑구	면목본동	36,575	1.01	36,213
2015	중랑구	면목3.8동	28,620	1.67	17,138
2015	중랑구	망우본동	33,611	2.88	11,670
2015	성북구	소계	469,560	24.58	19,104
2015	성북구	돈암1동	17,222	0.49	35,147
2015	성북구	돈암2동	23,722	0.48	49,421
2015	성북구	안암동	18,022	1.33	13,550
2015	성북구	보문동	15,018	0.56	26,818
2015	성북구	정릉1동	19,372	0.44	44,027
2015	성북구	정릉2동	24,644	1.17	21,063
2015	성북구	정릉3동	17,801	3.71	4,798
2015	성북구	정릉4동	27,893	3.13	8,912
2015	성북구	길음1동	38,048	0.79	48,162
2015	성북구	길음2동	16,300	0.58	28,103
2015	성북구	월곡1동	28,751	0.81	35,495
2015	성북구	월곡2동	21,483	1.36	15,796
2015	성북구	장위1동	23,502	0.7	33,574
2015	성북구	장위2동	20,950	0.67	31,269
2015	성북구	장위3동	14,165	0.65	21,792
2015	성북구	성북동	18,536	2.86	6,481
2015	성북구	삼선동	27,936	0.92	30,365
2015	성북구	동선동	16,974	0.73	23,252
2015	성북구	종암동	43,496	1.46	29,792
2015	성북구	석관동	35,725	1.73	20,650
2015	강북구	소계	334,426	23.6	14,172
2015	강북구	번1동	20,541	0.55	37,347
2015	강북구	번2동	18,746	1.25	14,997
2015	강북구	번3동	20,235	0.86	23,529
2015	강북구	수유1동	22,927	1.07	21,427
2015	강북구	수유2동	22,644	0.73	31,019
2015	강북구	수유3동	23,953	0.86	27,852
2015	강북구	삼양동	30,085	0.95	31,668
2015	강북구	미아동	23,756	0.73	32,542
2015	강북구	송중동	31,068	1.22	25,466
2015	강북구	송천동	30,453	0.88	34,606
2015	강북구	삼각산동	34,782	0.62	56,100
2015	강북구	우이동	21,904	10.95	2,000
2015	강북구	인수동	33,332	2.93	11,376
2015	도봉구	소계	353,241	20.71	17,056
2015	도봉구	쌍문1동	22,590	1.24	18,218
2015	도봉구	쌍문2동	21,294	0.54	39,433
2015	도봉구	쌍문3동	18,028	0.5	36,056
2015	도봉구	쌍문4동	21,102	0.52	40,581
2015	도봉구	방학1동	31,622	0.69	45,829
2015	도봉구	방학2동	22,631	0.74	30,582
2015	도봉구	방학3동	30,909	2.64	11,708
2015	도봉구	창1동	27,881	0.88	31,683
2015	도봉구	창2동	31,123	1.07	29,087
2015	도봉구	창3동	15,821	0.67	23,613
2015	도봉구	창4동	29,838	0.96	31,081
2015	도봉구	창5동	27,105	0.7	38,721
2015	도봉구	도봉1동	23,526	8.72	2,698
2015	도봉구	도봉2동	29,771	0.83	35,869
2015	노원구	소계	578,221	35.44	16,317
2015	노원구	월계1동	22,875	1.16	19,720
2015	노원구	월계2동	28,708	1.94	14,798
2015	노원구	월계3동	34,528	1.17	29,511
2015	노원구	공릉2동	45,297	6.82	6,642
2015	노원구	하계1동	29,635	1.55	19,119
2015	노원구	하계2동	25,078	0.51	49,173
2015	노원구	중계본동	28,567	1.97	14,501
2015	노원구	중계1동	29,782	0.63	47,273
2015	노원구	중계4동	22,707	1.7	13,357
2015	노원구	상계1동	42,935	5.62	7,640
2015	노원구	상계2동	22,250	0.61	36,475
2015	노원구	상계5동	28,084	0.44	63,827
2015	노원구	상계8동	26,026	0.67	38,845
2015	노원구	상계9동	23,848	0.81	29,442
2015	노원구	상계10동	19,709	0.8	24,636
2015	노원구	상계3.4동	31,990	5.62	5,692
2015	노원구	상계6.7동	35,872	1.11	32,317
2015	노원구	중계2.3동	40,388	0.9	44,876
2015	노원구	공릉1동	39,942	1.41	28,328
2015	은평구	소계	502,578	29.7	16,920
2015	은평구	녹번동	32,347	1.79	18,071
2015	은평구	불광1동	42,770	3.13	13,665
2015	은평구	갈현1동	25,892	0.97	26,693
2015	은평구	갈현2동	30,309	0.96	31,572
2015	은평구	구산동	34,330	1.38	24,877
2015	은평구	대조동	33,327	0.85	39,208
2015	은평구	응암1동	32,806	1.2	27,338
