,date,SD,Mask,TransMask,Shutdown,Quaratine,Busan,Chungcheongbuk-do,Chungcheongnam-do,Daegu,Daejeon,Gangwon-do,Gwangju,Gyeonggi-do,Gyeongsangbuk-do,Gyeongsangnam-do,Incheon,Jeju-do,Jeollabuk-do,Jeollanam-do,Sejong,Seoul,Ulsan
21,2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.911662047372532e-05,6.811896295690794e-05,-3.7990139279448625e-05,0.0,0.0,0.0,5.559898454014636e-05,0.0,0.0,0.00012552154200703926,0.0
22,2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.911662047372532e-05,6.811896295690794e-05,-3.7990139279448625e-05,0.0,0.0,0.0,5.559898454014636e-05,0.0,0.0,0.00012552154200703926,0.0
23,2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.911662047372532e-05,5.2981415633150625e-05,-3.7990139279448625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00012552154200703926,0.0
24,2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.911662047372532e-05,5.2981415633150625e-05,-3.7990139279448625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00012552154200703926,0.0
25,2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.911662047372532e-05,5.2981415633150625e-05,-3.7990139279448625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00012552154200703926,0.0
26,2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.911662047372532e-05,5.2981415633150625e-05,-3.7990139279448625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00011506141350645265,0.0
27,2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.911662047372532e-05,5.2981415633150625e-05,-3.7990139279448625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00011506141350645265,0.0
28,2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1465936976751704e-05,0.0,0.0,6.911662047372532e-05,5.2981415633150625e-05,-3.7990139279448625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00011506141350645265,0.0
29,2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004561253067442688,0.0,0.0,6.911662047372532e-05,3.78438683093933e-05,3.7990139279448625e-05,9.002817881997066e-05,3.421662407837523e-05,0.0,0.0,0.0,0.0,0.00017782218450997225,0.0
30,2020-02-20,0.0,0.0,0.0,0.0,0.0,8.368102800469283e-05,0.0,0.0,0.0012439781093025511,0.0,0.0,-6.911662047372532e-05,3.78438683093933e-05,0.000911763342706767,9.002817881997066e-05,3.421662407837523e-05,0.0,0.0,0.0,0.0,0.00017782218450997225,0.0
31,2020-02-21,0.0,0.0,0.0,0.0,0.0,8.368102800469283e-05,6.302003343842975e-05,4.751991203113885e-05,0.004561253067442688,0.0,0.0,6.911662047372532e-05,5.2981415633150625e-05,0.001025733760545113,0.00021006575057993154,3.421662407837523e-05,0.00015030293556663455,5.559898454014636e-05,0.0,0.0,0.0002301228270129053,0.0
32,2020-02-22,0.0,0.0,0.0,0.0,0.0,0.00011506141350645265,0.00018906010031528923,4.751991203113885e-05,0.008002925836513079,0.00013681312968242935,0.0003933644659454548,0.00027646648189490127,9.83940576044226e-05,0.0054705800562406025,0.00021006575057993154,3.421662407837523e-05,0.00015030293556663455,0.00011119796908029272,5.423802356642124e-05,0.000290495847361862,0.0002510430840140785,8.792476453748056e-05
