기간	자치구	동	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2014	성동구	송정동	283	99	-	-	165	19	-	-	209	86	-	-	105	18	-	-
2014	성동구	용답동	574	264	-	-	276	34	-	-	497	241	-	-	224	32	-	-
2014	성동구	왕십리도선동	534	283	-	-	133	118	-	-	449	211	-	-	123	115	-	-
2014	성동구	금호2.3가동	641	387	-	-	160	94	-	-	541	325	-	-	126	90	-	-
2014	성동구	옥수동	646	434	-	-	23	189	-	-	554	350	-	-	18	186	-	-
2014	광진구	소계	9,674	2,018	-	183	5,764	1,492	85	132	8,437	1,737	-	92	5,060	1,381	74	93
2014	광진구	화양동	450	120	-	36	294	-	-	-	383	101	-	18	264	-	-	-
2014	광진구	군자동	712	99	-	98	413	71	-	31	554	87	-	35	360	65	-	7
2014	광진구	중곡1동	281	85	-	-	180	16	-	-	247	77	-	-	154	16	-	-
2014	광진구	중곡2동	601	139	-	-	403	59	-	-	562	129	-	-	377	56	-	-
2014	광진구	중곡3동	953	266	-	-	667	20	-	-	766	193	-	-	559	14	-	-
2014	광진구	중곡4동	947	171	-	-	571	169	36	-	865	159	-	-	522	149	35	-
2014	광진구	능동	191	130	-	-	21	40	-	-	178	117	-	-	21	40	-	-
2014	광진구	구의1동	602	86	-	-	496	20	-	-	551	73	-	-	459	19	-	-
2014	광진구	구의2동	788	59	-	-	579	101	49	-	715	59	-	-	527	90	39	-
2014	광진구	구의3동	652	175	-	-	263	214	-	-	556	160	-	-	191	205	-	-
2014	광진구	광장동	626	99	-	20	106	352	-	49	568	88	-	20	103	322	-	35
2014	광진구	자양1동	802	96	-	29	569	56	-	52	657	84	-	19	459	44	-	51
2014	광진구	자양2동	614	139	-	-	330	145	-	-	502	61	-	-	301	140	-	-
2014	광진구	자양3동	797	199	-	-	443	155	-	-	738	194	-	-	393	151	-	-
2014	광진구	자양4동	658	155	-	-	429	74	-	-	595	155	-	-	370	70	-	-
2014	동대문구	소계	9,697	2,699	-	204	4,462	2,055	-	277	8,625	2,398	-	181	3,931	1,906	-	209
2014	동대문구	회기동	291	83	-	-	118	54	-	36	241	81	-	-	85	50	-	25
2014	동대문구	휘경1동	380	49	-	-	252	79	-	-	272	-	-	-	200	72	-	-
2014	동대문구	휘경2동	749	99	-	99	304	212	-	35	666	91	-	89	265	201	-	20
2014	동대문구	청량리동	505	194	-	-	152	120	-	39	453	174	-	-	130	113	-	36
2014	동대문구	용신동	702	202	-	-	349	58	-	93	663	188	-	-	336	55	-	84
2014	동대문구	제기동	649	257	-	-	233	159	-	-	581	226	-	-	199	156	-	-
2014	동대문구	전농1동	642	142	-	49	374	77	-	-	570	123	-	39	332	76	-	-
2014	동대문구	전농2동	403	144	-	-	127	132	-	-	373	135	-	-	112	126	-	-
2014	동대문구	답십리1동	838	435	-	-	312	91	-	-	685	361	-	-	266	58	-	-
2014	동대문구	답십리2동	1,020	109	-	56	639	216	-	-	898	101	-	53	549	195	-	-
2014	동대문구	장안1동	1,349	559	-	-	449	292	-	49	1,254	525	-	-	430	278	-	21
2014	동대문구	장안2동	984	234	-	-	512	238	-	-	884	221	-	-	443	220	-	-
2014	동대문구	이문1동	572	90	-	-	317	140	-	25	523	88	-	-	283	129	-	23
2014	동대문구	이문2동	613	102	-	-	324	187	-	-	562	84	-	-	301	177	-	-
2014	중랑구	소계	12,389	2,768	114	276	6,867	2,206	-	158	10,930	2,528	89	249	5,968	1,958	-	138
2014	중랑구	면목2동	836	99	-	-	647	90	-	-	695	93	-	-	530	72	-	-
2014	중랑구	면목4동	641	207	-	-	357	77	-	-	590	200	-	-	322	68	-	-
2014	중랑구	면목5동	582	91	-	-	471	20	-	-	429	79	-	-	350	-	-	-
2014	중랑구	면목7동	698	142	-	-	493	63	-	-	606	116	-	-	437	53	-	-
2014	중랑구	상봉1동	811	368	-	-	240	203	-	-	767	340	-	-	235	192	-	-
2014	중랑구	상봉2동	513	101	-	151	212	49	-	-	433	99	-	127	184	23	-	-
2014	중랑구	중화1동	646	110	-	-	367	169	-	-	582	96	-	-	324	162	-	-
