기간	자치구	동	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2013	합계	합계	270,458	60,375	2,617	8,765	128,229	57,916	786	11,770	242,648	56,064	2,371	7,613	114,716	52,102	673	9,109
2013	종로구	소계	4,543	1,741	141	149	1,118	148	-	1,246	3,924	1,636	96	146	996	136	-	914
2013	종로구	사직동	579	101	64	-	64	-	-	350	431	92	38	-	45	-	-	256
2013	종로구	삼청동	32	32	-	-	-	-	-	-	30	30	-	-	-	-	-	-
2013	종로구	부암동	124	89	-	-	35	-	-	-	121	88	-	-	33	-	-	-
2013	종로구	평창동	72	-	-	-	33	39	-	-	71	-	-	-	32	39	-	-
2013	종로구	무악동	474	175	-	-	279	20	-	-	423	163	-	-	247	13	-	-
2013	종로구	교남동	202	163	-	-	39	-	-	-	185	149	-	-	36	-	-	-
2013	종로구	가회동	227	49	-	-	80	-	-	98	174	48	-	-	67	-	-	59
2013	종로구	종로1.2.3.4가동	307	-	-	100	-	-	-	207	206	-	-	99	-	-	-	107
2013	종로구	종로5·6가동	237	35	-	-	153	-	-	49	189	23	-	-	136	-	-	30
2013	종로구	이화동	260	132	-	-	39	-	-	89	222	121	-	-	36	-	-	65
2013	종로구	창신1동	170	73	77	-	-	20	-	-	148	70	58	-	-	20	-	-
2013	종로구	창신2동	449	242	-	49	138	20	-	-	419	229	-	47	124	19	-	-
2013	종로구	창신3동	116	96	-	-	-	20	-	-	105	85	-	-	-	20	-	-
2013	종로구	숭인1동	218	117	-	-	101	-	-	-	205	116	-	-	89	-	-	-
2013	종로구	숭인2동	120	52	-	-	-	29	-	39	104	52	-	-	-	25	-	27
2013	종로구	청운효자동	623	170	-	-	39	-	-	414	573	166	-	-	37	-	-	370
2013	종로구	혜화동	333	215	-	-	118	-	-	-	318	204	-	-	114	-	-	-
2013	중구	소계	3,993	1,817	-	427	452	317	-	980	3,450	1,648	-	372	423	295	-	712
2013	중구	소공동	419	-	-	-	-	-	-	419	348	-	-	-	-	-	-	348
2013	중구	회현동	156	87	-	-	-	-	-	69	125	84	-	-	-	-	-	41
2013	중구	명동	372	-	-	-	-	-	-	372	232	-	-	-	-	-	-	232
2013	중구	필동	79	79	-	-	-	-	-	-	74	74	-	-	-	-	-	-
2013	중구	장충동	116	67	-	49	-	-	-	-	103	56	-	47	-	-	-	-
2013	중구	광희동	219	99	-	-	-	-	-	120	178	87	-	-	-	-	-	91
