기간	자치구	동	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황
2013	중구	을지로동	131	52	-	79	-	-	-	-	84	40	-	44	-	-	-	-
2013	중구	신당5동	363	173	-	83	107	-	-	-	333	154	-	77	102	-	-	-
2013	중구	황학동	262	170	-	-	32	60	-	-	244	159	-	-	26	59	-	-
2013	중구	중림동	276	134	-	84	-	58	-	-	258	126	-	77	-	55	-	-
2013	중구	신당동	190	151	-	-	39	-	-	-	150	117	-	-	33	-	-	-
2013	중구	다산동	328	194	-	49	52	33	-	-	311	184	-	47	47	33	-	-
2013	중구	약수동	514	261	-	83	111	59	-	-	487	247	-	80	107	53	-	-
2013	중구	청구동	264	131	-	-	75	58	-	-	256	125	-	-	75	56	-	-
2013	중구	동화동	304	219	-	-	36	49	-	-	267	195	-	-	33	39	-	-
2013	용산구	소계	5,534	1,533	94	456	2,002	980	20	449	5,124	1,415	83	434	1,880	913	14	385
2013	용산구	후암동	692	151	57	72	339	73	-	-	585	85	52	63	323	62	-	-
2013	용산구	용산2가동	272	170	-	-	84	18	-	-	249	153	-	-	79	17	-	-
2013	용산구	남영동	71	34	37	-	-	-	-	-	63	32	31	-	-	-	-	-
2013	용산구	원효로2동	364	89	-	40	97	138	-	-	355	89	-	39	94	133	-	-
2013	용산구	효창동	486	79	-	99	274	34	-	-	464	78	-	95	270	21	-	-
2013	용산구	용문동	410	70	-	40	220	80	-	-	380	69	-	38	194	79	-	-
2013	용산구	이촌1동	357	-	-	-	119	238	-	-	347	-	-	-	112	235	-	-
2013	용산구	이촌2동	241	104	-	-	78	59	-	-	218	99	-	-	66	53	-	-
2013	용산구	이태원1동	228	-	-	52	65	38	-	73	216	-	-	50	62	35	-	69
2013	용산구	이태원2동	112	54	-	-	38	20	-	-	108	51	-	-	38	19	-	-
2013	용산구	서빙고동	238	166	-	-	22	50	-	-	234	164	-	-	20	50	-	-
2013	용산구	보광동	436	193	-	-	223	20	-	-	403	193	-	-	194	16	-	-
2013	용산구	청파동	542	168	-	84	253	37	-	-	508	158	-	84	246	20	-	-
2013	용산구	원효로1동	251	52	-	49	53	77	20	-	241	49	-	49	52	77	14	-
2013	용산구	한강로동	451	151	-	-	49	20	-	231	420	143	-	-	46	20	-	211
2013	용산구	한남동	383	52	-	20	88	78	-	145	333	52	-	16	84	76	-	105
2013	성동구	소계	8,033	3,242	-	202	2,790	1,536	-	263	7,245	2,979	-	181	2,489	1,402	-	194
2013	성동구	왕십리2동	411	96	-	-	188	127	-	-	389	91	-	-	184	114	-	-
2013	성동구	마장동	674	304	-	-	226	144	-	-	644	295	-	-	207	142	-	-
2013	성동구	사근동	154	84	-	-	-	31	-	39	123	77	-	-	-	22	-	24
2013	성동구	행당1동	488	186	-	-	195	58	-	49	435	166	-	-	177	54	-	38
2013	성동구	행당2동	644	277	-	-	159	208	-	-	588	265	-	-	127	196	-	-
2013	성동구	응봉동	345	99	-	79	60	107	-	-	301	95	-	68	50	88	-	-
2013	성동구	금호1가동	663	341	-	79	127	116	-	-	621	326	-	69	126	100	-	-
2013	성동구	금호4가동	391	113	-	-	122	156	-	-	362	100	-	-	116	146	-	-
2013	성동구	성수1가1동	351	206	-	44	101	-	-	-	333	199	-	44	90	-	-	-
2013	성동구	성수1가2동	488	113	-	-	299	76	-	-	462	108	-	-	282	72	-	-
2013	성동구	성수2가1동	419	44	-	-	281	67	-	27	401	40	-	-	271	64	-	26
2013	성동구	성수2가3동	386	99	-	-	119	20	-	148	311	83	-	-	102	20	-	106
2013	성동구	송정동	283	99	-	-	165	19	-	-	221	89	-	-	113	19	-	-
2013	성동구	용답동	590	264	-	-	292	34	-	-	522	249	-	-	239	34	-	-
2013	성동구	왕십리도선동	433	150	-	-	210	73	-	-	399	145	-	-	201	53	-	-
2013	성동구	금호2.3가동	657	387	-	-	159	111	-	-	558	334	-	-	129	95	-	-
2013	성동구	옥수동	656	380	-	-	87	189	-	-	575	317	-	-	75	183	-	-
2013	광진구	소계	9,713	1,945	-	203	5,774	1,574	85	132	8,632	1,785	-	112	5,180	1,390	69	96
2013	광진구	화양동	450	120	-	36	294	-	-	-	407	117	-	20	270	-	-	-
2013	광진구	군자동	698	99	-	98	413	57	-	31	580	99	-	36	376	54	-	15
2013	광진구	중곡1동	324	85	-	-	203	36	-	-	276	78	-	-	176	22	-	-
2013	광진구	중곡2동	636	139	-	20	403	74	-	-	572	129	-	16	370	57	-	-
2013	광진구	중곡3동	953	266	-	-	667	20	-	-	811	212	-	-	580	19	-	-
2013	광진구	중곡4동	985	171	-	-	577	201	36	-	836	136	-	-	500	167	33	-
2013	광진구	능동	205	130	-	-	21	54	-	-	189	117	-	-	21	51	-	-
2013	광진구	구의1동	602	86	-	-	496	20	-	-	566	77	-	-	469	20	-	-
2013	광진구	구의2동	846	59	-	-	637	101	49	-	757	59	-	-	579	83	36	-
2013	광진구	구의3동	652	175	-	-	263	214	-	-	583	171	-	-	205	207	-	-
2013	광진구	광장동	628	101	-	20	106	352	-	49	553	94	-	17	102	309	-	31
2013	광진구	자양1동	759	96	-	29	492	90	-	52	657	88	-	23	429	67	-	50
2013	광진구	자양2동	539	64	-	-	330	145	-	-	503	63	-	-	307	133	-	-
2013	광진구	자양3동	797	199	-	-	443	155	-	-	748	192	-	-	404	152	-	-
2013	광진구	자양4동	639	155	-	-	429	55	-	-	594	153	-	-	392	49	-	-
2013	동대문구	소계	9,478	2,567	-	263	4,381	1,990	-	277	8,670	2,357	-	214	4,048	1,849	-	202
2013	동대문구	회기동	291	54	-	-	147	54	-	36	263	54	-	-	137	53	-	19
2013	동대문구	휘경1동	294	-	-	-	215	79	-	-	273	-	-	-	197	76	-	-
2013	동대문구	휘경2동	748	99	-	99	304	211	-	35	698	98	-	97	275	206	-	22
2013	동대문구	청량리동	500	189	-	-	152	120	-	39	479	183	-	-	142	116	-	38
2013	동대문구	용신동	653	202	-	-	300	58	-	93	609	193	-	-	283	54	-	79
2013	동대문구	제기동	650	257	-	-	234	159	-	-	616	239	-	-	225	152	-	-
2013	동대문구	전농1동	637	142	-	49	389	57	-	-	495	118	-	41	324	12	-	-
2013	동대문구	전농2동	403	144	-	-	127	132	-	-	387	142	-	-	124	121	-	-
2013	동대문구	답십리1동	635	435	-	-	166	34	-	-	562	374	-	-	154	34	-	-
2013	동대문구	답십리2동	986	109	-	56	593	228	-	-	907	104	-	49	549	205	-	-
2013	동대문구	장안1동	1,330	559	-	-	449	273	-	49	1,256	525	-	-	442	268	-	21
2013	동대문구	장안2동	941	234	-	-	469	238	-	-	886	224	-	-	444	218	-	-
2013	동대문구	이문1동	762	41	-	59	477	160	-	25	669	41	-	27	425	153	-	23
2013	동대문구	이문2동	648	102	-	-	359	187	-	-	570	62	-	-	327	181	-	-
2013	중랑구	소계	12,120	2,469	114	574	6,632	2,173	-	158	10,661	2,341	94	443	5,776	1,870	-	137
2013	중랑구	면목2동	848	99	-	-	669	80	-	-	708	92	-	-	551	65	-	-
2013	중랑구	면목4동	643	207	-	-	357	79	-	-	574	187	-	-	325	62	-	-
2013	중랑구	면목5동	582	91	-	-	471	20	-	-	460	91	-	-	369	-	-	-
2013	중랑구	면목7동	707	99	-	-	532	76	-	-	603	96	-	-	440	67	-	-
2013	중랑구	상봉1동	691	233	-	-	240	218	-	-	650	220	-	-	227	203	-	-
2013	중랑구	상봉2동	513	101	-	151	212	49	-	-	432	94	-	128	181	29	-	-
2013	중랑구	중화1동	646	110	-	-	367	169	-	-	588	107	-	-	322	159	-	-
2013	중랑구	중화2동	606	310	-	-	206	90	-	-	555	301	-	-	182	72	-	-
2013	중랑구	묵1동	979	211	-	39	520	209	-	-	917	207	-	36	475	199	-	-
2013	중랑구	묵2동	423	91	-	-	175	157	-	-	401	89	-	-	170	142	-	-
2013	중랑구	망우3동	604	94	-	-	476	34	-	-	548	91	-	-	424	33	-	-
2013	중랑구	신내1동	1,160	91	114	20	510	352	-	73	1,057	88	94	20	488	312	-	55
2013	중랑구	신내2동	820	41	-	66	164	464	-	85	707	41	-	66	142	376	-	82
2013	중랑구	면목본동	985	230	-	-	687	68	-	-	855	199	-	-	596	60	-	-
2013	중랑구	면목3.8동	917	201	-	298	350	68	-	-	726	191	-	193	289	53	-	-
2013	중랑구	망우본동	996	260	-	-	696	40	-	-	880	247	-	-	595	38	-	-
2013	성북구	소계	12,213	2,353	151	1,332	5,357	2,844	33	143	11,102	2,187	148	1,207	4,864	2,583	22	91
2013	성북구	돈암1동	347	-	-	67	208	72	-	-	311	-	-	67	172	72	-	-
2013	성북구	돈암2동	376	190	-	-	39	147	-	-	332	153	-	-	39	140	-	-
2013	성북구	안암동	303	116	-	-	57	34	-	96	234	110	-	-	49	23	-	52
2013	성북구	보문동	350	40	-	168	142	-	-	-	290	37	-	128	125	-	-	-
2013	성북구	정릉1동	593	64	-	-	393	136	-	-	544	61	-	-	367	116	-	-
2013	성북구	정릉2동	372	96	-	20	106	117	33	-	328	70	-	19	101	116	22	-
2013	성북구	정릉3동	574	166	-	321	87	-	-	-	538	158	-	294	86	-	-	-
2013	성북구	정릉4동	906	99	-	234	368	205	-	-	866	98	-	220	353	195	-	-
2013	성북구	길음1동	1,178	263	-	-	361	554	-	-	1,136	262	-	-	358	516	-	-
2013	성북구	길음2동	340	87	-	-	154	99	-	-	292	77	-	-	119	96	-	-
2013	성북구	월곡1동	850	70	79	159	314	228	-	-	782	70	77	132	284	219	-	-
2013	성북구	월곡2동	645	229	-	44	205	167	-	-	611	222	-	44	195	150	-	-
2013	성북구	장위1동	772	44	-	59	589	80	-	-	656	42	-	54	505	55	-	-
2013	성북구	장위2동	687	-	-	74	546	67	-	-	593	-	-	74	470	49	-	-
2013	성북구	장위3동	626	120	72	20	247	167	-	-	577	117	71	19	229	141	-	-
2013	성북구	성북동	228	161	-	-	27	40	-	-	211	156	-	-	22	33	-	-
2013	성북구	삼선동	556	166	-	-	243	100	-	47	515	158	-	-	221	97	-	39
2013	성북구	동선동	405	157	-	90	158	-	-	-	384	146	-	90	148	-	-	-
2013	성북구	종암동	1,385	195	-	76	715	399	-	-	1,245	166	-	66	651	362	-	-
2013	성북구	석관동	720	90	-	-	398	232	-	-	657	84	-	-	370	203	-	-
2013	강북구	소계	9,723	1,628	153	216	6,151	1,496	27	52	8,767	1,529	132	187	5,526	1,324	26	43
2013	강북구	번1동	621	72	-	-	464	85	-	-	513	70	-	-	368	75	-	-
2013	강북구	번2동	549	136	-	-	329	84	-	-	492	114	-	-	305	73	-	-
2013	강북구	번3동	499	40	89	-	227	143	-	-	463	39	72	-	222	130	-	-
2013	강북구	수유1동	929	79	-	-	818	32	-	-	897	75	-	-	790	32	-	-
2013	강북구	수유2동	862	62	64	-	601	135	-	-	809	60	60	-	573	116	-	-
2013	강북구	수유3동	522	-	-	49	406	15	-	52	487	-	-	43	389	12	-	43
2013	강북구	삼양동	902	305	-	90	359	148	-	-	835	275	-	77	337	146	-	-
2013	강북구	미아동	468	163	-	-	250	55	-	-	411	149	-	-	217	45	-	-
2013	강북구	송중동	917	206	-	-	589	122	-	-	762	202	-	-	463	97	-	-
2013	강북구	송천동	841	84	-	38	648	71	-	-	687	83	-	37	519	48	-	-
2013	강북구	삼각산동	1,279	157	-	-	546	576	-	-	1,228	154	-	-	536	538	-	-
2013	강북구	우이동	712	71	-	-	614	-	27	-	663	59	-	-	578	-	26	-
2013	강북구	인수동	622	253	-	39	300	30	-	-	520	249	-	30	229	12	-	-
2013	도봉구	소계	11,125	1,483	33	144	6,226	3,119	50	70	9,766	1,451	25	119	5,465	2,596	40	70
2013	도봉구	쌍문1동	726	79	-	25	528	94	-	-	664	79	-	12	493	80	-	-
2013	도봉구	쌍문2동	619	116	-	-	372	131	-	-	527	111	-	-	317	99	-	-
2013	도봉구	쌍문3동	601	75	-	-	471	55	-	-	553	73	-	-	432	48	-	-
2013	도봉구	쌍문4동	392	-	-	-	81	311	-	-	342	-	-	-	81	261	-	-
2013	도봉구	방학1동	1,000	79	-	47	651	153	-	70	877	79	-	47	555	126	-	70
2013	도봉구	방학2동	978	135	-	-	823	20	-	-	906	134	-	-	754	18	-	-
2013	도봉구	방학3동	936	202	-	-	198	516	20	-	811	195	-	-	187	409	20	-
2013	도봉구	창1동	710	130	-	-	247	333	-	-	586	125	-	-	184	277	-	-
2013	도봉구	창2동	1,231	84	-	-	817	300	30	-	992	84	-	-	637	251	20	-
2013	도봉구	창3동	817	79	33	27	622	56	-	-	682	79	25	24	519	35	-	-
2013	도봉구	창4동	645	124	-	-	131	390	-	-	608	121	-	-	126	361	-	-
2013	도봉구	창5동	671	79	-	-	359	233	-	-	623	79	-	-	350	194	-	-
2013	도봉구	도봉1동	814	110	-	45	592	67	-	-	694	104	-	36	510	44	-	-
2013	도봉구	도봉2동	985	191	-	-	334	460	-	-	901	188	-	-	320	393	-	-
2013	노원구	소계	15,430	2,991	308	20	5,060	6,757	30	264	14,006	2,848	289	20	4,656	5,987	30	176
2013	노원구	월계1동	800	124	-	20	359	297	-	-	756	120	-	20	346	270	-	-
2013	노원구	월계2동	629	236	40	-	46	307	-	-	593	225	38	-	46	284	-	-
2013	노원구	월계3동	966	148	40	-	78	700	-	-	911	142	33	-	77	659	-	-
2013	노원구	공릉2동	1,480	393	-	-	539	503	-	45	1,359	377	-	-	495	449	-	38
2013	노원구	하계1동	714	338	20	-	209	147	-	-	660	313	20	-	208	119	-	-
2013	노원구	하계2동	441	79	-	-	59	303	-	-	407	79	-	-	57	271	-	-
2013	노원구	중계본동	438	183	-	-	92	163	-	-	397	172	-	-	82	143	-	-
2013	노원구	중계1동	680	116	-	-	381	183	-	-	622	113	-	-	367	142	-	-
2013	노원구	중계4동	416	71	-	-	161	184	-	-	338	64	-	-	141	133	-	-
2013	노원구	상계1동	1,446	225	128	-	616	447	30	-	1,308	218	120	-	546	394	30	-
2013	노원구	상계2동	1,029	96	-	-	755	121	-	57	889	96	-	-	654	91	-	48
2013	노원구	상계5동	654	95	-	-	419	140	-	-	571	87	-	-	398	86	-	-
2013	노원구	상계8동	876	70	-	-	38	719	-	49	780	70	-	-	37	644	-	29
2013	노원구	상계9동	517	-	-	-	-	517	-	-	453	-	-	-	-	453	-	-
2013	노원구	상계10동	524	96	-	-	-	364	-	64	437	94	-	-	-	331	-	12
2013	노원구	상계3.4동	1,055	245	20	-	630	160	-	-	951	226	20	-	552	153	-	-
2013	노원구	상계6.7동	879	30	-	-	190	610	-	49	796	30	-	-	175	542	-	49
2013	노원구	중계2.3동	843	246	40	-	-	557	-	-	762	229	38	-	-	495	-	-
2013	노원구	공릉1동	1,043	200	20	-	488	335	-	-	1,016	193	20	-	475	328	-	-
2013	은평구	소계	16,130	1,574	131	332	11,655	2,323	39	76	13,938	1,517	111	301	10,088	1,837	25	59
2013	은평구	녹번동	1,089	170	-	80	719	78	-	42	994	161	-	73	659	60	-	41
2013	은평구	불광1동	1,299	92	-	-	887	286	-	34	1,072	89	-	-	746	219	-	18
2013	은평구	갈현1동	868	-	-	52	726	90	-	-	779	-	-	49	659	71	-	-
2013	은평구	갈현2동	766	-	-	-	634	93	39	-	707	-	-	-	595	87	25	-
2013	은평구	구산동	1,052	71	-	20	812	149	-	-	875	70	-	18	677	110	-	-
2013	은평구	대조동	1,091	-	131	40	847	73	-	-	946	-	111	40	733	62	-	-
2013	은평구	응암1동	1,223	110	-	20	1,054	39	-	-	1,090	85	-	18	952	35	-	-
2013	은평구	응암2동	697	137	-	-	375	185	-	-	619	133	-	-	334	152	-	-
2013	은평구	신사1동	1,047	-	-	20	931	96	-	-	850	-	-	18	759	73	-	-
2013	은평구	신사2동	740	46	-	-	606	88	-	-	577	45	-	-	473	59	-	-
2013	은평구	증산동	653	79	-	-	258	316	-	-	502	77	-	-	184	241	-	-
2013	은평구	수색동	284	153	-	20	39	72	-	-	272	152	-	17	36	67	-	-
2013	은평구	진관동	1,892	184	-	-	1,234	474	-	-	1,582	182	-	-	1,037	363	-	-
2013	은평구	불광2동	765	163	-	-	524	78	-	-	651	162	-	-	418	71	-	-
2013	은평구	응암3동	889	84	-	40	765	-	-	-	812	84	-	33	695	-	-	-
2013	은평구	역촌동	1,775	285	-	40	1,244	206	-	-	1,610	277	-	35	1,131	167	-	-
2013	서대문구	소계	8,068	2,056	-	156	4,101	1,241	20	494	6,897	1,909	-	140	3,320	1,108	18	402
2013	서대문구	천연동	647	86	-	-	493	68	-	-	519	84	-	-	382	53	-	-
2013	서대문구	홍제1동	571	189	-	-	278	104	-	-	511	165	-	-	247	99	-	-
2013	서대문구	홍제3동	641	206	-	-	338	97	-	-	570	180	-	-	315	75	-	-
2013	서대문구	홍제2동	359	-	-	74	208	77	-	-	333	-	-	63	201	69	-	-
2013	서대문구	홍은1동	507	140	-	-	223	144	-	-	472	137	-	-	194	141	-	-
2013	서대문구	홍은2동	616	85	-	-	432	99	-	-	505	84	-	-	331	90	-	-
2013	서대문구	남가좌1동	183	132	-	-	32	19	-	-	175	124	-	-	32	19	-	-
2013	서대문구	남가좌2동	787	120	-	-	395	272	-	-	663	112	-	-	313	238	-	-
2013	서대문구	북가좌1동	458	330	-	-	-	128	-	-	444	318	-	-	-	126	-	-
2013	서대문구	북가좌2동	821	129	-	-	551	141	-	-	748	118	-	-	509	121	-	-
2013	서대문구	충현동	811	40	-	30	631	20	-	90	556	35	-	28	398	12	-	83
2013	서대문구	북아현동	433	201	-	-	194	38	-	-	318	169	-	-	114	35	-	-
2013	서대문구	신촌동	495	88	-	52	-	-	-	355	402	80	-	49	-	-	-	273
2013	서대문구	연희동	739	310	-	-	326	34	20	49	681	303	-	-	284	30	18	46
2013	마포구	소계	9,488	3,029	-	757	3,268	1,838	153	443	8,467	2,758	-	572	2,990	1,678	141	328
2013	마포구	용강동	264	42	-	98	27	97	-	-	233	41	-	73	26	93	-	-
2013	마포구	대흥동	174	143	-	-	-	31	-	-	147	118	-	-	-	29	-	-
2013	마포구	염리동	545	111	-	183	186	20	-	45	461	98	-	130	179	20	-	34
2013	마포구	신수동	560	289	-	40	135	96	-	-	487	243	-	39	129	76	-	-
2013	마포구	서교동	401	249	-	100	-	52	-	-	335	230	-	56	-	49	-	-
2013	마포구	합정동	379	79	-	-	143	119	38	-	345	78	-	-	136	95	36	-
2013	마포구	망원1동	528	89	-	20	273	146	-	-	498	89	-	-	268	141	-	-
2013	마포구	망원2동	514	106	-	-	263	145	-	-	492	104	-	-	244	144	-	-
2013	마포구	연남동	488	75	-	-	319	94	-	-	456	68	-	-	300	88	-	-
2013	마포구	성산1동	479	49	-	-	298	56	76	-	453	47	-	-	286	52	68	-
2013	마포구	성산2동	1,510	355	-	40	635	333	39	108	1,332	326	-	39	511	311	37	108
2013	마포구	상암동	1,275	317	-	148	408	227	-	175	1,117	299	-	131	352	218	-	117
2013	마포구	도화동	416	250	-	20	-	146	-	-	391	234	-	16	-	141	-	-
2013	마포구	서강동	754	368	-	69	225	62	-	30	682	326	-	66	216	56	-	18
2013	마포구	공덕동	704	342	-	-	174	143	-	45	610	310	-	-	170	110	-	20
2013	마포구	아현동	497	165	-	39	182	71	-	40	428	147	-	22	173	55	-	31
2013	양천구	소계	13,295	2,939	-	222	6,320	3,621	16	177	11,919	2,718	-	184	5,621	3,237	16	143
2013	양천구	목1동	460	134	-	40	108	133	-	45	421	123	-	22	104	131	-	41
2013	양천구	목2동	890	198	-	40	429	189	-	34	765	179	-	26	364	168	-	28
2013	양천구	목3동	513	79	-	39	299	96	-	-	446	70	-	33	253	90	-	-
2013	양천구	목4동	775	160	-	-	459	156	-	-	634	132	-	-	356	146	-	-
2013	양천구	신월1동	1,121	144	-	83	739	155	-	-	992	134	-	83	637	138	-	-
2013	양천구	신월2동	731	84	-	-	353	294	-	-	657	84	-	-	312	261	-	-
2013	양천구	신월3동	510	79	-	-	314	117	-	-	445	74	-	-	265	106	-	-
2013	양천구	신월4동	916	200	-	-	460	256	-	-	849	195	-	-	434	220	-	-
2013	양천구	신월5동	462	156	-	-	123	167	16	-	397	150	-	-	96	135	16	-
2013	양천구	신월6동	492	79	-	-	342	71	-	-	395	56	-	-	288	51	-	-
2013	양천구	신월7동	963	104	-	-	711	148	-	-	867	101	-	-	645	121	-	-
2013	양천구	신정1동	382	141	-	-	119	122	-	-	363	139	-	-	113	111	-	-
2013	양천구	신정2동	350	79	-	-	121	150	-	-	310	78	-	-	119	113	-	-
2013	양천구	신정3동	1,784	406	-	-	611	767	-	-	1,634	359	-	-	554	721	-	-
2013	양천구	신정6동	477	-	-	-	206	173	-	98	419	-	-	-	185	160	-	74
2013	양천구	신정7동	741	381	-	-	74	286	-	-	689	367	-	-	72	250	-	-
2013	양천구	목5동	540	173	-	-	167	200	-	-	511	164	-	-	162	185	-	-
2013	양천구	신정4동	1,188	342	-	20	685	141	-	-	1,125	313	-	20	662	130	-	-
2013	강서구	소계	16,234	2,891	344	210	8,771	3,836	34	148	14,715	2,610	336	194	7,902	3,531	29	113
2013	강서구	염창동	1,184	84	52	-	642	406	-	-	1,090	75	47	-	597	371	-	-
2013	강서구	등촌1동	413	84	-	-	177	152	-	-	394	77	-	-	168	149	-	-
2013	강서구	등촌2동	363	72	-	-	193	98	-	-	322	66	-	-	168	88	-	-
2013	강서구	등촌3동	1,093	451	-	-	497	145	-	-	971	379	-	-	452	140	-	-
2013	강서구	화곡본동	1,212	153	-	59	809	191	-	-	1,127	133	-	59	754	181	-	-
2013	강서구	화곡2동	790	141	-	60	488	101	-	-	735	133	-	57	465	80	-	-
2013	강서구	화곡3동	762	111	-	-	406	146	-	99	668	99	-	-	357	144	-	68
2013	강서구	화곡4동	855	79	-	-	724	52	-	-	742	78	-	-	625	39	-	-
2013	강서구	화곡6동	798	120	-	-	527	102	-	49	718	100	-	-	485	88	-	45
2013	강서구	화곡8동	940	114	-	40	445	307	34	-	864	112	-	33	410	280	29	-
2013	강서구	가양1동	356	87	-	-	93	176	-	-	333	85	-	-	73	175	-	-
2013	강서구	가양2동	404	246	20	-	96	42	-	-	355	203	19	-	91	42	-	-
2013	강서구	가양3동	394	79	-	-	144	171	-	-	372	73	-	-	142	157	-	-
2013	강서구	발산1동	1,091	116	99	-	530	346	-	-	1,024	108	97	-	489	330	-	-
2013	강서구	공항동	603	104	173	-	174	152	-	-	561	89	173	-	158	141	-	-
2013	강서구	방화1동	1,067	188	-	-	604	275	-	-	924	160	-	-	531	233	-	-
2013	강서구	방화2동	766	116	-	51	425	174	-	-	661	116	-	45	336	164	-	-
2013	강서구	방화3동	794	152	-	-	493	149	-	-	762	142	-	-	482	138	-	-
2013	강서구	화곡1동	1,294	163	-	-	911	220	-	-	1,144	153	-	-	788	203	-	-
2013	강서구	우장산동	1,055	231	-	-	393	431	-	-	948	229	-	-	331	388	-	-
2013	구로구	소계	13,450	2,618	311	587	6,118	3,350	97	369	12,640	2,477	303	526	5,757	3,197	96	284
2013	구로구	신도림동	929	147	-	-	404	378	-	-	903	135	-	-	393	375	-	-
2013	구로구	구로1동	714	164	-	63	27	388	-	72	687	161	-	61	27	374	-	64
2013	구로구	구로3동	830	240	-	153	95	293	-	49	700	191	-	148	89	258	-	14
2013	구로구	구로4동	826	237	-	-	268	321	-	-	763	228	-	-	230	305	-	-
2013	구로구	구로5동	1,127	140	-	138	676	173	-	-	1,082	140	-	132	641	169	-	-
2013	구로구	고척1동	815	84	146	-	443	142	-	-	786	84	145	-	428	129	-	-
2013	구로구	고척2동	1,077	79	86	60	710	142	-	-	1,004	79	79	40	670	136	-	-
2013	구로구	개봉2동	995	96	-	-	498	401	-	-	987	95	-	-	492	400	-	-
2013	구로구	개봉3동	837	141	-	74	484	138	-	-	801	125	-	72	477	127	-	-
2013	구로구	오류1동	576	79	-	-	291	74	19	113	532	79	-	-	269	72	19	93
2013	구로구	오류2동	1,500	585	-	-	380	462	19	54	1,422	568	-	-	345	443	19	47
2013	구로구	수궁동	785	210	-	-	433	83	59	-	756	209	-	-	406	83	58	-
2013	구로구	가리봉동	375	126	-	78	151	20	-	-	308	110	-	58	127	13	-	-
2013	구로구	구로2동	1,087	197	-	-	695	114	-	81	980	181	-	-	626	107	-	66
2013	구로구	개봉1동	977	93	79	21	563	221	-	-	929	92	79	15	537	206	-	-
2013	금천구	소계	8,687	1,395	223	1,020	4,149	1,673	14	213	7,584	1,265	213	877	3,609	1,459	6	155
2013	금천구	가산동	792	174	-	263	199	57	-	99	674	150	-	252	178	34	-	60
2013	금천구	독산1동	727	196	-	79	74	329	-	49	668	184	-	74	67	303	-	40
2013	금천구	독산2동	1,147	79	-	60	825	183	-	-	984	76	-	34	722	152	-	-
