기간	자치구	동	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2019	구로구	구로1동	778	293	-	63	27	308	-	87	667	242	-	63	26	279	-	57
2019	구로구	구로3동	834	339	-	153	82	162	-	98	696	315	-	129	56	128	-	68
2019	구로구	구로4동	641	312	-	-	129	200	-	-	601	299	-	-	125	177	-	-
2019	구로구	구로5동	922	238	-	98	432	154	-	-	824	228	-	86	357	153	-	-
2019	구로구	고척1동	731	195	146	-	284	106	-	-	648	178	141	-	232	97	-	-
2019	구로구	고척2동	989	174	74	60	548	133	-	-	803	161	67	40	417	118	-	-
2019	구로구	개봉2동	925	346	-	-	330	249	-	-	825	331	-	-	264	230	-	-
2019	구로구	개봉3동	679	200	-	-	440	39	-	-	640	194	-	-	412	34	-	-
2019	구로구	오류1동	770	299	-	-	230	94	19	128	581	234	-	-	177	86	19	65
2019	구로구	오류2동	1,874	1,219	-	-	259	303	39	54	1,751	1,141	-	-	232	286	38	54
2019	구로구	수궁동	784	199	-	-	473	72	40	-	682	197	-	-	392	53	40	-
2019	구로구	가리봉동	262	112	-	58	92	-	-	-	230	107	-	48	75	-	-	-
2019	구로구	구로2동	1,085	232	-	-	608	86	-	159	868	188	-	-	512	58	-	110
2019	구로구	개봉1동	820	219	79	-	355	167	-	-	683	206	71	-	278	128	-	-
2019	금천구	소계	7,801	2,944	223	645	2,789	776	-	424	6,424	2,551	205	518	2,161	676	-	313
2019	금천구	가산동	847	145	-	220	193	18	-	271	692	123	-	198	167	-	-	204
2019	금천구	독산1동	1,153	646	-	55	205	149	-	98	981	551	-	51	188	136	-	55
2019	금천구	독산2동	884	372	-	-	405	107	-	-	695	305	-	-	291	99	-	-
2019	금천구	독산3동	575	263	-	49	231	32	-	-	501	235	-	40	196	30	-	-
2019	금천구	독산4동	598	233	-	-	348	17	-	-	489	193	-	-	289	7	-	-
2019	금천구	시흥1동	894	330	-	76	198	235	-	55	817	312	-	59	185	207	-	54
2019	금천구	시흥2동	509	369	-	-	-	140	-	-	478	342	-	-	-	136	-	-
2019	금천구	시흥3동	338	189	-	89	60	-	-	-	259	157	-	48	54	-	-	-
2019	금천구	시흥4동	886	196	-	156	496	38	-	-	704	159	-	122	392	31	-	-
2019	금천구	시흥5동	1,117	201	223	-	653	40	-	-	808	174	205	-	399	30	-	-
2019	영등포구	소계	12,014	4,008	123	70	3,375	1,558	-	2,880	10,347	3,629	98	40	2,886	1,394	-	2,300
2019	영등포구	여의동	2,699	165	-	-	-	79	-	2,455	2,183	156	-	-	-	75	-	1,952
2019	영등포구	당산1동	718	328	-	-	255	90	-	45	637	300	-	-	234	67	-	36
2019	영등포구	당산2동	718	303	-	-	222	158	-	35	647	268	-	-	198	150	-	31
2019	영등포구	양평1동	529	242	-	-	186	101	-	-	485	214	-	-	172	99	-	-
2019	영등포구	양평2동	690	235	44	30	-	178	-	203	579	216	26	-	-	171	-	166
2019	영등포구	신길1동	420	223	-	-	152	45	-	-	390	211	-	-	139	40	-	-
2019	영등포구	신길3동	419	159	-	-	136	124	-	-	350	131	-	-	120	99	-	-
2019	영등포구	신길4동	516	314	-	-	202	-	-	-	453	297	-	-	156	-	-	-
2019	영등포구	신길5동	165	165	-	-	-	-	-	-	131	131	-	-	-	-	-	-
2019	영등포구	신길6동	713	252	-	-	389	72	-	-	582	241	-	-	284	57	-	-
2019	영등포구	신길7동	415	205	-	-	34	114	-	62	380	193	-	-	34	101	-	52
2019	영등포구	대림1동	399	78	-	-	301	20	-	-	361	70	-	-	273	18	-	-
2019	영등포구	대림2동	383	138	-	-	225	20	-	-	299	122	-	-	157	20	-	-
2019	영등포구	대림3동	844	274	-	-	439	131	-	-	709	246	-	-	351	112	-	-
2019	영등포구	영등포본동	480	187	-	-	154	139	-	-	433	165	-	-	140	128	-	-
2019	영등포구	영등포동	492	254	-	-	218	20	-	-	412	199	-	-	193	20	-	-
2019	영등포구	도림동	448	153	79	40	99	77	-	-	430	147	72	40	97	74	-	-
2019	영등포구	문래동	966	333	-	-	363	190	-	80	886	322	-	-	338	163	-	63
2019	동작구	소계	9,374	3,968	103	101	3,396	1,487	49	270	8,173	3,494	86	91	2,908	1,309	40	245
2019	동작구	노량진2동	173	79	-	-	59	-	-	35	135	56	-	-	49	-	-	30
2019	동작구	상도1동	1,027	527	63	-	273	126	-	38	961	509	50	-	249	116	-	37
2019	동작구	상도2동	788	357	-	-	266	165	-	-	712	314	-	-	245	153	-	-
2019	동작구	상도3동	735	219	-	-	437	79	-	-	612	193	-	-	367	52	-	-
2019	동작구	상도4동	825	212	-	-	419	145	49	-	720	190	-	-	359	131	40	-
2019	동작구	사당1동	684	213	-	62	389	20	-	-	552	181	-	61	291	19	-	-
2019	동작구	사당3동	539	325	-	-	157	57	-	-	504	301	-	-	149	54	-	-
2019	동작구	사당4동	462	129	-	-	275	58	-	-	410	112	-	-	244	54	-	-
2019	동작구	사당5동	305	178	-	-	55	72	-	-	248	157	-	-	31	60	-	-
2019	동작구	대방동	628	279	20	-	192	137	-	-	559	254	16	-	165	124	-	-
2019	동작구	신대방1동	584	158	-	-	328	98	-	-	471	121	-	-	262	88	-	-
2019	동작구	신대방2동	616	323	-	-	75	65	-	153	538	284	-	-	66	44	-	144
2019	동작구	흑석동	732	349	-	-	221	118	-	44	631	281	-	-	204	112	-	34
2019	동작구	노량진1동	685	321	-	39	151	174	-	-	580	269	-	30	132	149	-	-
2019	동작구	사당2동	591	299	20	-	99	173	-	-	540	272	20	-	95	153	-	-
2019	관악구	소계	11,123	4,644	91	455	3,711	1,583	16	623	9,149	4,094	28	342	2,906	1,280	9	490
2019	관악구	보라매동	669	130	-	-	480	59	-	-	593	108	-	-	451	34	-	-
2019	관악구	청림동	476	257	-	-	-	219	-	-	432	251	-	-	-	181	-	-
2019	관악구	행운동	590	198	-	94	208	90	-	-	455	188	-	75	121	71	-	-
2019	관악구	낙성대동	935	174	-	96	155	-	-	510	750	143	-	92	137	-	-	378
2019	관악구	중앙동	305	144	-	-	161	-	-	-	139	139	-	-	-	-	-	-
2019	관악구	인헌동	432	170	-	-	208	54	-	-	418	166	-	-	198	54	-	-
2019	관악구	남현동	398	59	-	88	128	59	-	64	315	54	-	69	91	38	-	63
2019	관악구	서원동	556	357	-	-	164	19	16	-	410	273	-	-	120	8	9	-
2019	관악구	신원동	406	139	-	-	267	-	-	-	327	116	-	-	211	-	-	-
2019	관악구	서림동	338	131	39	-	37	131	-	-	264	112	28	-	37	87	-	-
2019	관악구	신사동	512	172	-	-	307	33	-	-	389	149	-	-	212	28	-	-
2019	관악구	신림동	192	137	-	-	55	-	-	-	163	128	-	-	35	-	-	-
2019	관악구	난향동	528	178	-	-	179	171	-	-	473	171	-	-	171	131	-	-
2019	관악구	조원동	426	245	-	-	143	38	-	-	385	239	-	-	108	38	-	-
2019	관악구	대학동	303	67	-	140	39	57	-	-	211	50	-	71	34	56	-	-
2019	관악구	은천동	883	463	-	-	188	232	-	-	775	443	-	-	122	210	-	-
2019	관악구	성현동	756	214	-	-	308	234	-	-	624	188	-	-	248	188	-	-
2019	관악구	청룡동	609	376	-	-	164	20	-	49	493	296	-	-	130	18	-	49
2019	관악구	난곡동	593	283	52	37	183	38	-	-	489	252	-	35	172	30	-	-
2019	관악구	삼성동	468	348	-	-	46	74	-	-	374	277	-	-	43	54	-	-
2019	관악구	미성동	748	402	-	-	291	55	-	-	670	351	-	-	265	54	-	-
2019	서초구	소계	10,424	4,998	-	237	2,101	1,006	82	2,000	9,001	4,499	-	210	1,794	953	60	1,485
2019	서초구	서초1동	721	345	-	-	39	79	-	258	637	325	-	-	31	78	-	203
2019	서초구	서초2동	655	170	-	-	85	17	-	383	519	160	-	-	70	17	-	272
2019	서초구	서초3동	640	123	-	-	108	16	49	344	513	117	-	-	106	16	37	237
2019	서초구	서초4동	355	199	-	-	136	20	-	-	307	172	-	-	115	20	-	-
2019	서초구	잠원동	496	282	-	-	76	120	-	18	410	213	-	-	68	118	-	11
2019	서초구	반포본동	40	40	-	-	-	-	-	-	40	40	-	-	-	-	-	-
2019	서초구	반포1동	744	336	-	-	335	40	-	33	607	281	-	-	292	26	-	8
2019	서초구	반포2동	475	298	-	-	157	20	-	-	429	260	-	-	149	20	-	-
2019	서초구	반포3동	495	266	-	-	69	160	-	-	465	247	-	-	61	157	-	-
2019	서초구	반포4동	793	524	-	-	111	36	-	122	707	504	-	-	100	22	-	81
2019	서초구	방배본동	161	115	-	-	46	-	-	-	157	111	-	-	46	-	-	-
2019	서초구	방배1동	203	85	-	-	38	80	-	-	196	82	-	-	37	77	-	-
2019	서초구	방배2동	661	298	-	237	67	59	-	-	612	287	-	210	56	59	-	-
2019	서초구	방배3동	467	303	-	-	106	58	-	-	389	255	-	-	81	53	-	-
2019	서초구	방배4동	450	140	-	-	234	76	-	-	414	135	-	-	206	73	-	-
2019	서초구	양재1동	1,258	372	-	-	349	155	33	349	1,056	326	-	-	262	147	23	298
2019	서초구	양재2동	651	423	-	-	118	30	-	80	569	383	-	-	91	30	-	65
2019	서초구	내곡동	1,159	679	-	-	27	40	-	413	974	601	-	-	23	40	-	310
2019	강남구	소계	10,904	4,868	-	-	3,107	1,081	69	1,779	9,010	4,198	-	-	2,639	909	47	1,217
2019	강남구	신사동	296	222	-	-	54	20	-	-	260	208	-	-	41	11	-	-
2019	강남구	논현1동	312	183	-	-	109	20	-	-	282	161	-	-	102	19	-	-
2019	강남구	논현2동	223	114	-	-	48	-	-	61	192	108	-	-	40	-	-	44
2019	강남구	삼성1동	605	308	-	-	68	20	-	209	435	249	-	-	53	19	-	114
2019	강남구	삼성2동	765	174	-	-	357	57	-	177	652	160	-	-	303	54	-	135
2019	강남구	대치1동	362	167	-	-	195	-	-	-	270	118	-	-	152	-	-	-
2019	강남구	대치4동	647	230	-	-	199	34	-	184	542	200	-	-	169	33	-	140
2019	강남구	역삼1동	566	69	-	-	148	20	-	329	457	55	-	-	142	20	-	240
2019	강남구	역삼2동	526	209	-	-	280	20	-	17	460	194	-	-	230	20	-	16
2019	강남구	도곡1동	285	159	-	-	66	60	-	-	223	114	-	-	51	58	-	-
2019	강남구	도곡2동	324	270	-	-	34	20	-	-	287	234	-	-	34	19	-	-
2019	강남구	개포4동	729	236	-	-	321	72	-	100	568	196	-	-	280	55	-	37
2019	강남구	일원본동	759	163	-	-	272	74	-	250	635	140	-	-	211	67	-	217
2019	강남구	일원1동	399	116	-	-	223	60	-	-	334	99	-	-	189	46	-	-
2019	강남구	일원2동	476	234	-	-	64	78	-	100	402	216	-	-	62	61	-	63
2019	강남구	수서동	590	279	-	-	197	40	-	74	453	206	-	-	163	37	-	47
2019	강남구	세곡동	1,431	795	-	-	270	297	69	-	1,281	756	-	-	224	254	47	-
2019	강남구	압구정동	301	217	-	-	-	-	-	84	231	179	-	-	-	-	-	52
2019	강남구	청담동	517	220	-	-	202	20	-	75	454	195	-	-	193	19	-	47
2019	강남구	대치2동	521	303	-	-	-	99	-	119	405	273	-	-	-	67	-	65
2019	강남구	개포2동	270	200	-	-	-	70	-	-	187	137	-	-	-	50	-	-
2019	송파구	소계	16,979	5,606	79	116	6,707	3,104	79	1,288	15,611	5,238	73	110	6,145	2,904	57	1,084
2019	송파구	풍납1동	333	108	-	-	168	57	-	-	287	107	-	-	131	49	-	-
2019	송파구	풍납2동	1,058	305	-	-	300	105	-	348	932	267	-	-	224	103	-	338
2019	송파구	거여1동	599	151	79	-	330	39	-	-	555	142	73	-	301	39	-	-
2019	송파구	거여2동	620	249	-	-	295	76	-	-	557	214	-	-	269	74	-	-
2019	송파구	마천1동	490	263	-	-	167	60	-	-	436	217	-	-	161	58	-	-
2019	송파구	마천2동	598	158	-	61	308	71	-	-	488	137	-	55	235	61	-	-
2019	송파구	방이1동	221	-	-	-	201	20	-	-	213	-	-	-	194	19	-	-
2019	송파구	방이2동	569	74	-	-	380	115	-	-	511	70	-	-	336	105	-	-
2019	송파구	오륜동	93	-	-	-	-	-	-	93	50	-	-	-	-	-	-	50
2019	송파구	오금동	1,070	457	-	-	404	209	-	-	981	420	-	-	356	205	-	-
2019	송파구	송파1동	593	274	-	-	205	77	-	37	553	266	-	-	192	74	-	21
2019	송파구	송파2동	298	20	-	-	187	60	31	-	281	20	-	-	184	58	19	-
2019	송파구	석촌동	818	140	-	-	641	37	-	-	766	136	-	-	593	37	-	-
2019	송파구	삼전동	1,019	143	-	24	832	20	-	-	960	134	-	24	782	20	-	-
2019	송파구	가락본동	587	221	-	-	247	119	-	-	525	216	-	-	214	95	-	-
2019	송파구	가락1동	831	673	-	-	-	100	-	58	757	614	-	-	-	100	-	43
2019	송파구	가락2동	1,172	151	-	-	837	107	-	77	1,089	146	-	-	805	84	-	54
2019	송파구	문정1동	452	91	-	-	293	68	-	-	430	91	-	-	288	51	-	-
2019	송파구	문정2동	604	125	-	-	83	95	-	301	521	118	-	-	74	94	-	235
2019	송파구	장지동	908	411	-	-	230	219	48	-	835	398	-	-	218	181	38	-
2019	송파구	위례동	1,296	1,006	-	-	40	250	-	-	1,248	962	-	-	40	246	-	-
2019	송파구	잠실본동	575	108	-	31	387	49	-	-	556	107	-	31	379	39	-	-
2019	송파구	잠실4동	622	181	-	-	64	377	-	-	606	172	-	-	62	372	-	-
2019	송파구	잠실6동	586	46	-	-	-	206	-	334	533	38	-	-	-	188	-	307
2019	송파구	잠실2동	442	222	-	-	-	220	-	-	432	217	-	-	-	215	-	-
2019	송파구	잠실3동	525	29	-	-	108	348	-	40	509	29	-	-	107	337	-	36
2019	강동구	소계	12,654	4,248	87	165	5,828	1,922	20	384	11,185	3,944	82	144	5,067	1,640	19	289
2019	강동구	강일동	1,310	514	-	-	272	404	-	120	1,165	492	-	-	208	365	-	100
2019	강동구	상일동	408	160	-	-	133	40	-	75	365	139	-	-	130	32	-	64
2019	강동구	명일1동	743	252	-	-	341	150	-	-	695	238	-	-	318	139	-	-
2019	강동구	명일2동	288	65	-	-	104	80	-	39	259	59	-	-	97	78	-	25
2019	강동구	고덕1동	629	310	-	-	202	117	-	-	579	301	-	-	163	115	-	-
2019	강동구	고덕2동	471	283	-	-	133	55	-	-	420	249	-	-	118	53	-	-
2019	강동구	암사2동	503	122	-	-	210	171	-	-	460	113	-	-	196	151	-	-
2019	강동구	암사3동	543	293	-	-	130	100	20	-	519	285	-	-	117	98	19	-
2019	강동구	천호1동	809	297	-	-	397	115	-	-	767	275	-	-	392	100	-	-
2019	강동구	천호3동	776	223	-	-	475	78	-	-	616	195	-	-	350	71	-	-
2019	강동구	성내1동	832	293	-	-	335	114	-	90	717	269	-	-	294	89	-	65
2019	강동구	성내2동	674	140	-	-	478	56	-	-	576	128	-	-	407	41	-	-
2019	강동구	성내3동	760	243	-	-	460	57	-	-	680	222	-	-	413	45	-	-
2019	강동구	둔촌2동	725	210	87	-	274	154	-	-	627	204	82	-	235	106	-	-
2019	강동구	암사1동	1,155	213	-	89	775	78	-	-	1,016	197	-	69	702	48	-	-
2019	강동구	천호2동	843	452	-	-	331	-	-	60	737	408	-	-	294	-	-	35
2019	강동구	길동	1,185	178	-	76	778	153	-	-	987	170	-	75	633	109	-	-
