기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수
기간	자치구	동	계	국공립	법인	민간	민간	민간	부모협동	직장	가정	계	국공립	법인	민간	민간	민간	부모협동	직장	가정
기간	자치구	동	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정
2009	합계	합계	230,888	53,755	2,752	126,472	115,244	11,228	533	6,348	41,028	193,723	49,338	2,364	103,965	94,767	9,198	460	5,018	32,578
2009	종로구	소계	4,312	1,799	242	1,479	1,278	201	-	637	155	3,534	1,644	167	1,055	909	146	-	544	124
2009	종로구	사직동	…	101	64	…	…	-	-	…	…	…	-	…	…	…	-	-	…	…
2009	종로구	삼청동	…	32	-	…	…	-	-	…	…	…	32	…	…	…	-	-	…	…
2009	종로구	부암동	…	89	-	…	…	-	-	…	…	…	84	…	…	…	-	-	…	…
2009	종로구	평창동	…	-	-	…	…	-	-	…	…	…	-	…	…	…	-	-	…	…
2009	종로구	무악동	…	175	-	…	…	-	-	…	…	…	144	…	…	…	-	-	…	…
2009	종로구	교남동	…	163	-	…	…	-	-	…	…	…	163	…	…	…	-	-	…	…
2009	종로구	가회동	…	50	-	…	…	-	-	…	…	…	50	…	…	…	-	-	…	…
2009	종로구	종로1.2.3.4가동	…	44	101	…	…	49	-	…	…	…	39	…	…	…	87	-	…	…
2009	종로구	종로5·6가동	…	52	-	…	…	51	-	…	…	…	41	…	…	…	-	-	…	…
2009	종로구	이화동	…	96	-	…	…	-	-	…	…	…	88	…	…	…	-	-	…	…
2009	종로구	혜화동	…	215	-	…	…	-	-	…	…	…	202	…	…	…	-	-	…	…
2009	종로구	명륜3가동	…	-	-	…	…	-	-	…	…	…	-	…	…	…	-	-	…	…
2009	종로구	창신1동	…	76	77	…	…	-	-	…	…	…	75	…	…	…	-	-	…	…
2009	종로구	창신2동	…	245	-	…	…	49	-	…	…	…	211	…	…	…	37	-	…	…
