기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수
기간	자치구	동	계	국공립	법인	민간	민간	민간	부모협동	직장	가정	계	국공립	법인	민간	민간	민간	부모협동	직장	가정
기간	자치구	동	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정
2010	합계	합계	236,339	55,061	2,870	126,224	115,886	10,338	637	7,624	43,923	206,581	50,513	2,595	109,680	100,889	8,791	553	5,965	37,275
2010	종로구	소계	4,520	1,844	242	1,386	1,199	187	-	907	141	3,811	1,679	143	1,115	942	173	-	751	123
2010	종로구	사직동	491	101	64	64	64	-	-	262	-	405	86	59	42	42	-	-	218	-
2010	종로구	삼청동	32	32	-	-	-	-	-	-	-	32	32	-	-	-	-	-	-	-
2010	종로구	부암동	176	89	-	87	87	-	-	-	-	112	81	-	31	31	-	-	-	-
2010	종로구	평창동	69	-	-	17	17	-	-	-	52	47	-	-	-	-	-	-	-	47
2010	종로구	무악동	454	175	-	279	279	-	-	-	-	391	159	-	232	232	-	-	-	-
2010	종로구	교남동	222	163	-	39	39	-	-	-	20	205	150	-	39	39	-	-	-	16
2010	종로구	가회동	203	50	-	80	80	-	-	73	-	184	48	-	70	70	-	-	66	-
2010	종로구	종로1.2.3.4가동	294	44	101	100	-	100	-	49	-	208	42	23	95	-	95	-	48	-
2010	종로구	종로5·6가동	197	50	-	147	147	-	-	-	-	139	23	-	116	116	-	-	-	-
2010	종로구	이화동	288	141	-	58	58	-	-	89	-	235	128	-	21	21	-	-	86	-
2010	종로구	혜화동	321	215	-	106	106	-	-	-	-	297	193	-	104	104	-	-	-	-
2010	종로구	창신1동	153	76	77	-	-	-	-	-	-	131	70	61	-	-	-	-	-	-
2010	종로구	창신2동	452	245	-	187	138	49	-	-	20	433	240	-	175	126	49	-	-	18
2010	종로구	창신3동	261	96	-	145	145	-	-	-	20	109	91	-	-	-	-	-	-	18
