기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수
기간	자치구	동	계	국공립	법인	민간	민간	민간	부모협동	직장	가정	계	국공립	법인	민간	민간	민간	부모협동	직장	가정
기간	자치구	동	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정
2011	성동구	응봉동	305	99	-	139	60	79	-	-	67	265	91	-	110	55	55	-	-	64
2011	성동구	금호1가동	647	264	-	324	245	79	-	-	59	588	254	-	277	203	74	-	-	57
2011	성동구	금호4가동	277	64	-	154	154	-	-	-	59	233	58	-	126	126	-	-	-	49
2011	성동구	성수1가1동	351	173	-	178	134	44	-	-	-	339	166	-	173	130	43	-	-	-
2011	성동구	성수1가2동	482	113	-	299	299	-	-	-	70	457	108	-	283	283	-	-	-	66
2011	성동구	성수2가1동	453	44	-	315	315	-	-	27	67	386	44	-	268	268	-	-	19	55
2011	성동구	성수2가3동	288	50	-	119	119	-	-	99	20	243	50	-	90	90	-	-	96	7
2011	성동구	송정동	277	99	-	165	165	-	-	-	13	209	98	-	98	98	-	-	-	13
2011	성동구	용답동	600	264	-	302	302	-	-	-	34	554	259	-	281	281	-	-	-	14
2011	성동구	왕십리도선동	434	150	-	249	249	-	-	-	35	404	144	-	225	225	-	-	-	35
2011	성동구	금호2.3가동	351	170	-	161	161	-	-	-	20	271	114	-	137	137	-	-	-	20
2011	성동구	옥수동	497	342	-	87	87	-	-	-	68	364	224	-	73	73	-	-	-	67
2011	광진구	소계	8,693	1,849	-	5,518	5,254	264	85	133	1,108	7,564	1,704	-	4,738	4,542	196	69	107	946
2011	광진구	화양동	438	120	-	289	253	36	-	-	29	331	102	-	212	194	18	-	-	17
2011	광진구	군자동	613	99	-	430	332	98	-	32	52	527	99	-	368	314	54	-	14	46
2011	광진구	중곡1동	349	85	-	191	191	-	-	-	73	272	72	-	150	150	-	-	-	50
2011	광진구	중곡2동	522	91	-	416	396	20	-	-	15	473	83	-	378	358	20	-	-	12
2011	광진구	중곡3동	937	266	-	671	671	-	-	-	-	758	217	-	541	541	-	-	-	-
2011	광진구	중곡4동	883	123	-	524	524	-	36	-	200	738	119	-	410	410	-	27	-	182
2011	광진구	능동	207	130	-	21	21	-	-	-	56	181	113	-	21	21	-	-	-	47
2011	광진구	구의1동	499	86	-	374	374	-	-	-	39	467	77	-	362	362	-	-	-	28
2011	광진구	구의2동	820	59	-	679	679	-	49	-	33	706	56	-	580	580	-	42	-	28
2011	광진구	구의3동	479	175	-	168	168	-	-	-	136	436	166	-	148	148	-	-	-	122
2011	광진구	광장동	425	101	-	142	122	20	-	-	182	373	95	-	110	90	20	-	-	168
2011	광진구	자양1동	628	96	-	408	379	29	-	52	72	589	91	-	389	361	28	-	51	58
2011	광진구	자양2동	507	64	-	291	291	-	-	49	103	456	63	-	267	267	-	-	42	84
2011	광진구	자양3동	779	199	-	482	421	61	-	-	98	702	196	-	420	364	56	-	-	86
2011	광진구	자양4동	607	155	-	432	432	-	-	-	20	555	155	-	382	382	-	-	-	18
2011	동대문구	소계	9,073	2,324	-	4,658	4,395	263	-	277	1,814	7,863	2,120	-	4,028	3,805	223	-	176	1,539
2011	동대문구	회기동	266	54	-	128	128	-	-	36	48	220	54	-	108	108	-	-	20	38
2011	동대문구	휘경1동	229	-	-	152	152	-	-	-	77	208	-	-	139	139	-	-	-	69
2011	동대문구	휘경2동	744	99	-	423	324	99	-	35	187	585	83	-	322	226	96	-	17	163
2011	동대문구	청량리동	490	124	-	209	209	-	-	39	118	466	119	-	197	197	-	-	37	113
2011	동대문구	용신동	683	202	-	349	349	-	-	93	39	564	190	-	296	296	-	-	57	21
2011	동대문구	제기동	687	257	-	274	274	-	-	-	156	639	250	-	255	255	-	-	-	134
2011	동대문구	전농1동	630	170	-	460	411	49	-	-	-	457	119	-	338	295	43	-	-	-
2011	동대문구	전농2동	288	143	-	31	31	-	-	-	114	275	140	-	29	29	-	-	-	106
